"time";"USO"
"2006-5-5";-0.0506293706293707
"2006-5-12";-0.0184148497348262
"2006-5-19";-0.00525288908899886
"2006-5-26";0.0307785153892576
"2006-6-5";0.00644028103044514
"2006-6-12";-0.052065154159395
"2006-6-19";0.00168763424363301
"2006-6-26";0.0412007964466227
"2006-7-3";0.0444248308325978
"2006-7-11";0.0019718309859155
"2006-7-18";-0.0181332583637898
"2006-7-25";-0.00973514674302065
"2006-8-1";0.0281914124620501
"2006-8-8";0.000703037120359915
"2006-8-15";-0.056062947871294
"2006-8-22";-0.018309020541828
"2006-8-29";-0.0166793025018955
"2006-9-6";-0.0448727833461834
"2006-9-13";-0.0611882466903455
"2006-9-20";-0.0388650042992261
"2006-9-27";0.0135981392020039
"2006-10-4";-0.0363636363636363
"2006-10-11";-0.0212493130610002
"2006-10-18";0.00879655624181169
"2006-10-25";-0.00463821892393321
"2006-11-1";-0.0400745573159366
"2006-11-8";0.058252427184466
"2006-11-15";-0.071743119266055
"2006-11-22";0.0239177703103379
"2006-11-30";0.0627413127413127
"2006-12-7";-0.0267029972752043
"2006-12-14";0.0134378499440089
"2006-12-21";-0.0254143646408839
"2006-12-29";-0.0665154950869237
"2007-1-9";-0.0834008097165991
"2007-1-17";-0.0452738515901061
"2007-1-24";0.0471894517696046
"2007-1-31";0.056770488182019
"2007-2-7";0.0399247491638795
"2007-2-14";-0.0281407035175879
"2007-2-22";0.0436401240951396
"2007-3-1";0.0108997225525168
"2007-3-8";-0.017643599294256
"2007-3-15";-0.0337258032328876
"2007-3-22";0.0444031391986782
"2007-3-29";0.0549733043306308
"2007-4-5";-0.056232427366448
"2007-4-13";0.0168818272095333
"2007-4-20";0.000390624999999922
"2007-4-27";0.000390472471690807
"2007-5-4";-0.0620608899297424
"2007-5-11";0.0104036620890553
"2007-5-18";0.0465403624382207
"2007-5-25";-0.0476190476190477
"2007-6-4";0.0334710743801654
"2007-6-11";-0.00919632147141145
"2007-6-18";0.0516545601291363
"2007-6-25";-0.0191864927091328
"2007-7-2";0.047339593114241
"2007-7-10";0.020918939110945
"2007-7-17";0.035126234906696
"2007-7-24";0.0151997172145634
"2007-7-31";0.00557103064066853
"2007-8-7";-0.0604224376731301
"2007-8-14";0.0158466924636079
"2007-8-21";-0.0504262651913659
"2007-8-28";0.0611270296084049
"2007-9-5";0.0374437443744375
"2007-9-12";0.0440742668748915
"2007-9-19";0.0412165530995512
"2007-9-26";0.012609736632083
"2007-10-3";-0.0130832282471626
"2007-10-10";0.0156524516850344
"2007-10-17";0.0720239031294228
"2007-10-24";0.0286049581927535
"2007-10-31";0.0292355961209355
"2007-11-7";0.0264652902868227
"2007-11-14";-0.0240280777537797
"2007-11-21";0.0616874135546336
"2007-11-29";-0.0892391870766025
"2007-12-6";-0.00686597053354298
"2007-12-13";0.0407604781794613
"2007-12-20";0.0213119291447549
"2007-12-28";0.0265582655826559
"2008-1-7";0.00395987328405487
"2008-1-14";-0.0435182750460163
"2008-1-22";-0.0446735395189003
"2008-1-29";0.0515107913669064
"2008-2-5";-0.0555555555555556
"2008-2-12";0.0737467400753405
"2008-2-20";0.0434489272702739
"2008-2-27";0.0536661062976853
"2008-3-5";0.0295778105056455
"2008-3-12";0.0390988198831804
"2008-3-19";-0.0676838361821728
"2008-3-27";0.0356835240556172
"2008-4-3";0.00986099560413447
"2008-4-10";0.0409411764705883
"2008-4-17";0.0592224231464737
"2008-4-24";0.0195262483994878
"2008-5-1";-0.0194662480376766
"2008-5-8";0.0890169708613513
"2008-5-15";0.00323434284034106
"2008-5-22";0.042399374755764
"2008-5-30";-0.0317713214620431
"2008-6-6";0.0555609331139289
"2008-6-13";-0.000825309491059178
"2008-6-20";0.0187224669603525
"2008-6-27";0.0249549549549549
"2008-7-7";-0.0320822712490111
"2008-7-14";0.0206138757718852
"2008-7-21";-0.0794554675682891
"2008-7-28";-0.0508409046974675
"2008-8-4";-0.0262729124236252
"2008-8-11";-0.0423551558251413
"2008-8-18";0.0146336136289178
"2008-8-25";0.0106554730384244
"2008-9-2";-0.0581469648562301
"2008-9-9";-0.061849841700588
"2008-9-16";-0.0659274436543329
"2008-9-23";0.0949677419354839
"2008-9-30";-0.0621022861183125
"2008-10-7";-0.0920969971101897
"2008-10-14";-0.159562690285082
"2008-10-21";-0.0955046929030133
"2008-10-28";0.0136537411250683
"2008-11-4";-0.0330459770114942
"2008-11-11";-0.150260029717682
"2008-11-18";-0.0544262295081968
"2008-11-25";0.0295885344429034
"2008-12-3";-0.204984283789852
"2008-12-10";0.0912171702908784
"2008-12-17";-0.152950310559006
"2008-12-24";-0.110907424381301
"2009-1-2";0.281786941580756
"2009-1-9";-0.17828418230563
"2009-1-16";-0.064926590538336
"2009-1-26";0.0293091416608514
"2009-2-2";-0.0213559322033898
"2009-2-9";-0.0678905438171112
"2009-2-17";-0.150501672240803
"2009-2-24";0.137357830271216
"2009-3-3";0.0619230769230769
"2009-3-10";-0.0474465773270554
"2009-3-17";0.125855513307985
"2009-3-24";0.0540357987166498
"2009-3-31";-0.0842678628644666
"2009-4-7";0.0318404478656403
"2009-4-15";-0.00678195998643606
"2009-4-22";-0.0481392966882895
"2009-4-29";0.0269010043041607
"2009-5-6";0.0998952148096402
"2009-5-13";0.0288980628771039
"2009-5-20";0.030246913580247
"2009-5-28";0.090473337327741
"2009-6-4";0.0274725274725275
"2009-6-11";0.0542780748663102
"2009-6-18";-0.0370276439259447
"2009-6-25";-0.0121148274953911
"2009-7-2";-0.0746467608637696
"2009-7-10";-0.0674157303370787
